time,streamflow_cms
2005-02-21,6.896648
2005-02-22,6.8175993
2005-02-23,6.7398057
2005-02-24,6.663229
2005-02-25,6.5878506
2005-02-26,6.51364
2005-02-27,6.4405584
2005-02-28,6.368585
2005-03-01,6.2976885
2005-03-02,6.2278366
2005-03-03,6.1589866
2005-03-04,6.0911045
2005-03-05,6.024169
2005-03-06,5.958141
2005-03-07,5.8929873
2005-03-08,5.8286858
2005-03-09,5.765206
2005-03-10,5.7025156
2005-03-11,5.640603
2005-03-12,5.579433
2005-03-13,5.518993
2005-03-14,5.4592757
2005-03-15,5.4002466
2005-03-16,5.341899
2005-03-17,5.2842293
2005-03-18,5.227219
2005-03-19,5.170865
2005-03-20,5.115166
2005-03-21,5.0601077
2005-03-22,5.0056767
2005-03-23,4.9518604
2005-03-24,4.898666
2005-03-25,4.846088
2005-03-26,4.7941127
2005-03-27,4.742738
2005-03-28,4.69195
2005-03-29,4.6417413
2005-03-30,4.592102
2005-03-31,4.5430274
2005-04-01,4.4945035
2005-04-02,4.4465384
2005-04-03,4.399102
2005-04-04,4.3521924
2005-04-05,4.3058085
2005-04-06,4.259954
2005-04-07,4.214615
2005-04-08,4.169767
2005-04-09,4.1254234
2005-04-10,4.081567
2005-04-11,4.038195
2005-04-12,3.9953125
2005-04-13,3.9529195
2005-04-14,3.9109805
2005-04-15,3.8695014
2005-04-16,3.8286502
2005-04-17,3.808258
2005-04-18,3.7607555
2005-04-19,3.7116022
2005-04-20,3.6868515
2005-04-21,4.6510363
2005-04-22,9.969964
2005-04-23,13.618546
2005-04-24,22.873539
2005-04-25,31.596046
2005-04-26,37.766308
2005-04-27,37.562702
2005-04-28,24.351297
2005-04-29,12.918559
2005-04-30,6.8294477
2005-05-01,4.3320184
2005-05-02,3.4995704
2005-05-03,3.3313978
2005-05-04,4.451175
2005-05-05,7.1288548
2005-05-06,14.190496
2005-05-07,22.217842
2005-05-08,29.762691
2005-05-09,35.00658
2005-05-10,39.466244
2005-05-11,36.76638
2005-05-12,43.187622
2005-05-13,50.507034
2005-05-14,59.05276
2005-05-15,70.04704
2005-05-16,78.98839
2005-05-17,103.973114
2005-05-18,105.49064
2005-05-19,91.382866
2005-05-20,84.61656
2005-05-21,65.315636
2005-05-22,47.047813
2005-05-23,32.82824
2005-05-24,22.672968
2005-05-25,20.128672
2005-05-26,23.4767
2005-05-27,33.11674
2005-05-28,46.218063
2005-05-29,58.24985
2005-05-30,66.45643
2005-05-31,72.36035
2005-06-01,83.30654
2005-06-02,99.60705
2005-06-03,103.881615
2005-06-04,112.87571
2005-06-05,123.19891
2005-06-06,131.37106
2005-06-07,167.30153
2005-06-08,175.78166
2005-06-09,126.90595
2005-06-10,90.04378
2005-06-11,75.36521
2005-06-12,75.63143
2005-06-13,88.897064
2005-06-14,88.091095
2005-06-15,78.44914
2005-06-16,71.17054
2005-06-17,84.16151
2005-06-18,227.32918
2005-06-19,247.729
2005-06-20,178.2046
2005-06-21,119.305435
2005-06-22,88.95284
2005-06-23,82.03552
2005-06-24,82.989044
2005-06-25,96.87924
2005-06-26,120.639824
2005-06-27,117.65938
2005-06-28,158.71823
2005-06-29,172.50061
2005-06-30,136.79243
2005-07-01,113.01986
2005-07-02,102.61934
2005-07-03,106.86792
2005-07-04,101.20803
2005-07-05,96.32231
2005-07-06,94.0038
2005-07-07,94.41785
2005-07-08,94.658615
2005-07-09,103.56611
2005-07-10,104.3595
2005-07-11,98.135956
2005-07-12,92.85645
2005-07-13,89.631966
2005-07-14,87.80392
2005-07-15,86.104675
2005-07-16,92.93673
2005-07-17,114.9975
2005-07-18,105.00603
2005-07-19,95.58036
2005-07-20,88.21395
2005-07-21,80.949875
2005-07-22,76.28324
2005-07-23,81.51589
2005-07-24,84.7354
2005-07-25,90.69116
2005-07-26,83.81942
2005-07-27,75.44212
2005-07-28,69.62541
2005-07-29,67.32727
2005-07-30,65.84162
2005-07-31,64.111664
2005-08-01,62.297455
2005-08-02,60.84125
2005-08-03,59.701683
2005-08-04,58.615376
2005-08-05,57.51912
2005-08-06,56.464638
2005-08-07,55.514038
2005-08-08,56.21344
2005-08-09,62.60339
2005-08-10,62.566925
2005-08-11,59.762978
2005-08-12,66.312325
2005-08-13,63.379093
2005-08-14,55.946953
2005-08-15,51.159016
2005-08-16,49.238926
2005-08-17,69.775665
2005-08-18,87.0642
2005-08-19,71.5038
2005-08-20,55.64478
2005-08-21,47.454212
2005-08-22,44.0304
2005-08-23,56.0804
2005-08-24,107.12707
2005-08-25,95.8109
2005-08-26,66.59598
2005-08-27,49.555054
2005-08-28,42.107338
2005-08-29,39.56907
2005-08-30,50.547844
2005-08-31,50.324524
2005-09-01,44.702503
2005-09-02,39.906384
2005-09-03,37.32428
2005-09-04,36.452896
2005-09-05,38.461105
2005-09-06,37.94601
2005-09-07,36.15453
2005-09-08,34.68332
2005-09-09,61.317154
2005-09-10,107.341736
2005-09-11,123.74239
2005-09-12,92.22561
2005-09-13,66.15001
2005-09-14,52.566425
2005-09-15,45.436222
2005-09-16,43.736473
2005-09-17,40.809082
2005-09-18,35.665234
2005-09-19,32.594395
2005-09-20,34.172226
2005-09-21,36.09695
2005-09-22,35.60372
2005-09-23,41.254623
2005-09-24,39.7123
2005-09-25,35.673615
2005-09-26,33.339035
2005-09-27,34.972206
2005-09-28,39.352085
2005-09-29,44.49866
2005-09-30,69.16777
